ID,GROUP_ID,BOARDGAME_ID,CREATED_AT,UPDATED_AT
1,1,1,2026-03-22T10:25:25.324065,2026-03-22T10:25:25.324065
2,1,2,2026-03-22T10:25:28.812462,2026-03-22T10:25:28.812462
3,1,3,2026-03-22T10:25:31.542134,2026-03-22T10:25:31.542134
4,2,5,2026-03-22T16:07:53.018043,2026-03-22T16:07:53.018043
5,2,8,2026-03-22T16:08:06.817331,2026-03-22T16:08:06.817331
6,2,6,2026-03-22T16:08:14.537647,2026-03-22T16:08:14.537647
7,2,9,2026-03-22T16:08:19.033656,2026-03-22T16:08:19.033656
8,2,7,2026-03-22T16:08:23.288458,2026-03-22T16:08:23.288458
9,3,10,2026-03-23T17:20:16.353660,2026-03-23T17:20:16.353660
10,3,14,2026-03-23T17:20:20.567841,2026-03-23T17:20:20.567841
11,3,11,2026-03-23T17:20:30.472056,2026-03-23T17:20:30.472056
12,3,12,2026-03-23T17:20:35.160421,2026-03-23T17:20:35.160421
13,3,13,2026-03-23T17:20:39.823704,2026-03-23T17:20:39.823704
14,4,15,2026-03-23T19:00:49.558489,2026-03-23T19:00:49.558489
15,4,16,2026-03-23T19:01:51.434441,2026-03-23T19:01:51.434441
16,4,27,2026-03-23T19:01:55.650240,2026-03-23T19:01:55.650240
17,4,26,2026-03-23T19:01:59.937595,2026-03-23T19:01:59.937595
18,4,30,2026-03-23T19:02:02.968646,2026-03-23T19:02:02.968646
19,4,31,2026-03-23T19:02:06.947878,2026-03-23T19:02:06.947878
20,4,29,2026-03-23T19:02:12.920775,2026-03-23T19:02:12.920775
21,4,20,2026-03-23T19:02:16.522729,2026-03-23T19:02:16.522729
22,4,28,2026-03-23T19:02:19.707915,2026-03-23T19:02:19.707915
23,4,22,2026-03-23T19:02:23.108898,2026-03-23T19:02:23.108898
24,4,21,2026-03-23T19:02:25.841992,2026-03-23T19:02:25.841992
25,4,18,2026-03-23T19:02:30.377405,2026-03-23T19:02:30.377405
26,4,17,2026-03-23T19:02:33.905552,2026-03-23T19:02:33.905552
27,4,19,2026-03-23T19:02:37.945352,2026-03-23T19:02:37.945352
28,4,24,2026-03-23T19:02:40.772797,2026-03-23T19:02:40.772797
29,4,25,2026-03-23T19:02:43.882540,2026-03-23T19:02:43.882540
30,4,23,2026-03-23T19:02:48.410159,2026-03-23T19:02:48.410159
